text_a|text_b|label
骑士主场迎来了小牛的挑战，值得一提的是本场比赛是詹姆斯个人职业生涯的第1000场常规赛，詹姆斯也成为现役少有的千场全明星球员。并且詹姆斯的这1000场是如此的辉煌,相当富有传奇色彩:在之前的999场比赛中，詹姆斯取得了671胜328负的战绩，詹姆斯获得的荣誉有：三届NBA总冠军、三届总决赛FMVP、四届常规赛MVP、12次全明星、两届全明星MVP、10次入选NBA最佳阵容、5次入选NBA最佳防守阵容、年度最佳新秀（2004年）以及得分王（2008年）。纵观詹姆斯1000场职业生涯，各项生涯总数据分别为38913分钟、27119分（现役第2）、7169篮板6927助攻、1671抢断以及780盖帽。数据方面：骑士：凯文-乐福27分10篮板4助攻；勒布朗-詹姆斯19分11助攻5篮板；凯里-欧文13投10中拿下25分；特里斯坦-汤普森11分12篮板；JR-史密斯3分2篮板3抢断。小牛：德克-诺维茨基15分6篮板；哈里森-巴恩斯12分5篮板；塞思-库里13分4篮板3助攻；韦斯利-马修斯6分3助攻；安德鲁-博古特2分11篮板。|骑士主场迎来了小牛的挑战，值得一提的是本场比赛是詹姆斯个人职业生涯的第1000场常规赛，詹姆斯也成为现役少有的千场全明星球员。并且詹姆斯的这1000场是如此的辉煌,相当富有传奇色彩:在之前的999场比赛中，詹姆斯取得了671胜328负的战绩，詹姆斯获得的荣誉有：三届NBA总冠军、三届总决赛FMVP、四届常规赛MVP、12次全明星、两届全明星MVP、10次入选NBA最佳阵容、5次入选NBA最佳防守阵容、年度最佳新秀（2004年）以及得分王（2008年）。纵观詹姆斯1000场职业生涯，各项生涯总数据分别为38913分钟、27119分（现役第2）、7169篮板6927助攻、1671抢断以及780盖帽。数据方面：骑士：凯文-乐福27分10篮板4助攻；勒布朗-詹姆斯19分11助攻5篮板；凯里-欧文13投10中拿下25分；特里斯坦-汤普森11分12篮板；JR-史密斯3分2篮板3抢断。小牛：德克-诺维茨基15分6篮板；哈里森-巴恩斯12分5篮板；塞思-库里13分4篮板3助攻；韦斯利-马修斯6分3助攻；安德鲁-博古特2分11篮板。|1
赵丽颖发博自曝她“老公”和“儿子”啦哈哈哈，但是其实是他们的剧照啦~前段时间赵丽颖发出微博讲说参演韩寒的新片，一下子老公儿子都有了彭于晏一直是不怕挑战自己的“丑”线的，连网友都看不下去了刚在《湄公河》里帅了一圈回来，|赵丽颖在微博晒出一组照片，并且附文到：“”舍不得我的“儿子”和“老公”还有“司机”哈哈！应该是新戏《乘风破浪》杀青！赵丽颖口中的“司机”韩寒，公主抱赵丽颖，颖宝在比剪刀手。网友喊话到：韩寒，小心回去跪搓衣板！有网友表示到：彭于晏，赵丽颖太养眼了，还有网友称：你不但惊艳了我的岁月，赵丽颖和邓超合影，赵丽颖是个好演员！赵丽颖搂着韩寒合影。|1
修杰楷和贾静雯的爱女咘咘一直都是娱乐圈中的萌娃代表。咘咘穿上黄色的雨衣，搭配黄色的雨靴，一双大眼睛尤其抢镜，修杰楷配文“总算有机会穿上整套雨天装扮出门上课了，感觉咘咘以后也会期待下雨天可以穿上这套青蛙雨衣装。继承了妈妈贾静雯和爸爸修杰楷的良好基因，|修杰楷微博晒出一组女儿咘咘与欧弟的女儿jojo和杨铭威女儿miamia三个萌娃的合影，合影中三个萌娃都十分可爱，这三个宝宝的共同特点都是眼睛大大的，儿身材圣诞装的jojo更是抢镜，瞪大眼睛吃饼干的jojo超级可爱。都说贾静雯女儿咘咘大眼睛可爱，其实欧弟女儿JoJo一点也不输。|0
自从传出刘恺威密会王鸥之后刘恺威就一直没有更新微博，杨幂发出公益的微博，发誓要死刑案死心踏地的爱杨幂再传刘恺威出轨以后，|自从“对剧本”事件曝光后，王鸥这个名字就被众所周知了，吃瓜群众难免将她拿来与杨幂比较，令人尴尬的是，俩人长相竟然似双生，也难怪刘恺威深夜读剧本咯。王鸥现身湖南参加某节目录制，丝毫没有受剧本事件影响。你们有没有一种杨幂的即视感？杨幂和王鸥从某些方面来看，王鸥居然完全没有输给大幂幂，刘恺威在最初接受采访的时候提过：他最喜欢的是杨幂的素颜，|0
王菲久违4年的演唱会“幻乐一场”将于明晚上海登场，外界关心谢霆锋届时是否会到场，他昨日下午从上海飞回香港，更罕见回应王菲的问题。谢霆锋27日飞抵上海，原以为是要为王菲演唱会应援，对于王菲演唱会的情况，|张柏芝说，她18岁时第一次见到谢霆锋就爱上他了，她主动到他面前说：我喜欢你！张柏芝是惊世美貌，逆天颜值好吗？谢霆锋到底18岁的时候帅成怎样，才会让超级美人张柏芝第一眼就沦陷了？看看谢霆锋16岁刚出道时的样子吧：OMG这就是漫画中走出来的美少年啊！要领略谢霆锋真正令张柏芝无法自拔的颜值，那还是要看他的第一部电影《古惑仔少年激斗篇》。《古惑仔少年激斗篇》无疑是1998年制作最成功的电影，苟延着临近没落的上世纪90年代香港影坛的最后辉煌。谢霆锋还献上了银幕初吻：白衬衣校草风：清纯与叛逆的结合体关于古惑仔陈浩南那点事本来就是香港电影为数不多自制自产自销故事，《少年激斗篇》以历史记载式叙事，把陈浩南这一虚拟的人物升华成为逼真的现实。男一号谢霆锋本身就已经是一个香港娱乐圈真实虚拟难以分清的人物，片中刚出道两年的谢霆锋作为老牌帅哥谢贤的儿子，本片配乐是谢霆锋当年的新专辑的主打歌，有当年惊艳的陈果小众电影《香港制造》中素人烂仔李灿森；有后来当过快递员，各种草根各种传奇各种港式节奏于一身的《古惑仔少年激斗篇》，就像谢霆锋的脸，实至名归：与谢霆锋同一时期初露锋芒的女新人是张柏芝。张国荣曾经逗谢霆锋和张柏芝：你们可以组情侣档啊。这世界上没有比张柏芝和谢霆锋更加相配的一对璧人，后来的事情大家都已经知道了：张柏芝和谢霆锋早就初心暗许。张柏芝看谢霆锋的眼神，|0
虎扑篮球4月17日讯在首场对阵开拓者的系列赛中，勇士以121-109战胜对手，大比分1-0领先。勇士球员克莱-汤普森接受采访，谈到了和CJ-麦科勒姆以及达米安-利拉德的对位。汤普森说，麦克勒姆和利拉德在这场比赛中联手砍下了75分，|灰熊队今天通过加时以110-108战胜马刺队。灰熊队的康利出战41分钟，得到了35分9篮板8助攻1抢断；马刺队的莱昂纳德出战44分钟，|0
360N4S上市已经有一段时间了，12月2日360N4S骁龙版新配色亮相，搭载英伦灰配色，在硬件配置上，360N4S骁龙版采用5.支持128GB扩展内存；前置800万像素镜头+后置1600万像素镜头组合；5000mAh大容量电池，|IT之家5月24日消息华为昨天晚上公布了旗下最新的三个系列的MateBook，其中MateBookD适合于商务人士，华为MateBookD定位商务影音人群，6英寸1080P分辨率IPS屏幕，MateBookD采用6.华为MateBookD采用的是第七代IntelCorei5-7200U/i7-7500U处理器，|0
长沙市中心医院肺科医院结核病诊疗中心的耐药结核、中医肺病科收治了一名18岁的年轻女孩小乔（化名），她患上了全身多器官结核，包括肺结核、结核性脑膜炎、结核性腹膜炎、肠系膜淋巴结结核、肠结核、盆腔结核，今年的主题是“联合起来消除结核：不让任何人掉队”，长沙市中心医院于3月23日上午举办“联合抗击结核”系列主题活动。她就出现了咳嗽、夜间发热、多次腹泻的症状。小乔咳嗽、发热、腹泻反复发作并加重，到当地医院检查，建议到长沙市中心医院肺科医院进一步检查。最终诊断为全身多器官结核。目前正在耐药结核、中医肺病科接受抗结核治疗。避免在“未治愈”的情况下传染他人长沙市肺科医院结核病诊疗中心耐药结核、中医肺病科的主任、主任医师裴异表示，小乔之所以会患上多器官结核，是因为早期在身体出现不适时没有及时到正规医院完善检查、发现问题。听医生分析小乔患上结核有可能就是自己传染的之后，结核病在服药治疗症状消失后一定要定期到医院进行检查，|"连日来江西各地发布公告活禽交易场所接连休市赣州章贡区活禽交易场所临时休市七天赣州经开区活禽市场交易场所临时休市婺源县活禽交易市场临时休市两天鹰潭余江县1家菜场休市七天上饶县活禽市场休市三天各地出台措施一切都是因为它H7N9禽流感1月全国死亡79例H7N9已进入高发期昨天国家卫计委网站公布""2017年1月全国法定传染病疫情概况""显示1月份全国""人感染H7N9禽流感""发病数为192死亡数为79相比起去年12月份的相关数据发病例和死亡人数上涨明显数据显示去年12月份人感染H7N9禽流感发病达到106例死亡20人而之前的11月全国人感染H7N9禽流感仅6例无人死亡江西已报告7例一对母女回江西探亲先后感染死亡一个3岁一个23岁截至目前江西省已报告7例H7N9病例患者黄某，50岁，现住南昌市；患者刘某，住宜春市奉新县；患者嵇某，住南昌市；患者邹某，现住九江市；患者李某，现住九江市；患者王某，2月5日从江西上饶回云南到昆明医科大学第一附属医院就诊2月7日经全力抢救无效死亡今天晚间又传来悲剧其母亲23岁在2月14日抢救无效死亡都有过活禽接触史江西多地活禽交易市场休市休市时间：2017年2月11日—17日休市时间为2月16、17日休市时间自2月16日到22日休市时间自2月17日—19日中部四省组团抗击疫情目前江西与安徽、湖北、湖南四省建立湘鄂赣皖卫生应急联动机制以期做好指挥决策跨省协查、应急物资调配等工作现在还能安心吃鸡鸭肉吗？""鸡肉、鸭肉等禽类肉制品还是能吃的主要是购买禽类的消费习惯要改变尽量到定点杀白上市的农贸市场购买禽类产品""专家提醒H7N9流感是乙类传染病老年人、有慢性基础性疾病或免疫低下的人尤需注意避免但它是可防、可控、可治的若出现发热症状应戴上口罩尽快就诊问诊时切记要告诉医生发病前的禽类接触史避免接触活禽是预防关键H7N9流感感染来源非常明确、就是活禽及其分泌物、排泄物或被这些污染的农贸市场活禽交易区因此大家应尽可能远离农贸市场活禽交易区避免跟活禽及分泌物接触同时要做到勤洗手等谨记以下四点若接触活禽或粪便，"|0
2016年NBA季后赛继续进行，在刚刚结束的比赛中，客场作战的克利夫兰骑士骑士队基于球队强大的整体实力，在常规赛末端一痛连败丢失常规赛东部榜首的情况下，詹姆斯与骑士的又一次总决赛之旅在向他们招手！骑士在上半场结束时凭借史密斯的天外飞仙压哨进球，这也创造了NBA季后赛历史半场最高分差，骑士半场结束以70-31领先于对手。骑士球星勒布朗-詹姆斯上半场比赛中上场23分钟，得到22分3个篮板6个助攻2个抢断3个盖帽的全面数据，詹姆斯半场+41的正负值是他职业生涯中（无论季后赛还是常规赛）最高的（无论上下半场）。而季后赛上半场+41的正负值也排在近20年来所有球员上半场正负值第一。勒布朗-詹姆斯本场比赛得到4次抢断，|今日刚结束的NBA季后赛东部决赛第三场的对决，最终凯尔特人在布拉德利外线三分命中帮助凯尔特人以3分险胜了骑士队！也帮助凯尔特人暂时以大比分1-2落后骑士队！今天凯尔特人斯马特和布拉德利分别砍下27分和20分，然而今天球队老大詹姆斯出战45分钟13投仅4中三分球4投全失只得到11分6次助攻6个篮板！今天凯尔特人只有9次失误！今天比赛骑士队最多近领先凯尔特人20分，|0
赤脚警花微博图四川新闻网成都11月7日讯（记者周子铭实习生冯灵）11月7日，一名女交警光脚踩在又冷又湿的泥地里指挥交通的图片被网友发在了微博上。微博共配有5张图片，只见一名身着制服的女警赤脚站在湿滑的泥地上，正在指挥交通，并用对讲机与同事沟通。博主“@冬小姐的candy”配文表示：“我要为赤脚站在泥泞中坚守岗位的美丽警花点赞！”赤脚警花微博图11月7日正是立冬的日子，早上更是只有10℃左右，图片中的女警为何冒雨赤脚执勤，四川新闻网记者联系上了微博发布者“@冬小姐的candy”，这组图片并非她本人拍摄，而是好友邓女士在早上开车路过时很受感动，她在征得邓女士同意后发布了微博，希望更多的人能够为这位女警的辛苦付出点赞。赤脚警花微博图随后记者联系上图片拍摄者邓女士，据邓女士介绍，当时是7日早上8点多，在她开车经过成都市新都区石板滩镇双柏村附近时，一名女警正在指挥交通，女警不但冒雨奔走疏导交通，微博上这名感动市民的“赤脚警花”是谁，是新都区交警大队石板滩中队的一名协警。当记者电话联系上李娟本人，李娟的第一反应是：“她真的发了微博啊？”赤脚警花微博图李娟告诉记者，疏导交通的工作任务更重。”赤脚警花微博图“李娟在我们中队工作已经有两个年头了，|吃碗清补凉微博上“吐槽”后立获处理8万元的钻戒丢失7小时后被寻回“三亚速度”获点赞游客投诉再小也当大事处理。吃碗清补凉却意外出现插曲，本想在微博上吐槽而已，没想到三亚却及时处理；价值8万元钻戒丢失后，仅仅7小时，旅游警察就帮忙找回了。三亚有关部门快速处理两起旅游投诉获网友点赞。11月7日中午，广西游客韦小姐在三亚凤凰国际机场一家冷饮店点了一份椰奶清补凉，明明店门口招牌写着“椰奶清补凉9.韦小姐在微博上吐槽了自己遇到的事情。三亚有关部门本着游客投诉再小也当大事处理原则，游客王女士临回家时发现价值8万元钻戒丢失后，三亚旅游警察就帮她找回丢失的钻戒。|0
